text,label,source_url,category
DHL Paket: Ihre Sendung 00340434162838947 wird heute zwischen 11:30 und 15:30 Uhr zugestellt. Sendungsverfolgung: https://www.dhl.de/de/privatkunden/pakete-empfangen/verfolgen.html,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
"Hermes: Ihr Paket wurde heute um 14:12 Uhr im PaketShop Kiosk Müller, Hauptstr. 12 abgegeben. Abholung mit Ausweis innerhalb von 7 Tagen möglich.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
DPD: Ihr Paket wird morgen zwischen 09:00 und 12:00 Uhr geliefert. Sie können den Zustelltag unter https://www.dpd.com/de ändern.,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
Amazon: Ihr Paket wurde zugestellt. Es wurde an der Haustür abgegeben. Foto der Zustellung in der Amazon-App verfügbar.,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
"DHL: Ihr Paket wurde beim Nachbarn Familie Schmidt, Erdgeschoss, abgegeben. Vielen Dank.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
Ihre Bestellung bei Thalia wurde versandt. Voraussichtliche Lieferung: Donnerstag. Sendungsnummer: JJD000390012345678,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
GLS: Ihr Paket ist unterwegs und wird heute zugestellt. Zustellfenster: 13:00–17:00 Uhr.,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
Deutsche Post: Ihr Einschreiben wurde zugestellt und von M. Bauer entgegengenommen.,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
"DHL Packstation: Ihr Paket liegt in Packstation 132 (Bahnhofstr. 4) bereit. Öffnen Sie die Post & DHL App, um das Fach zu öffnen.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
Hermes: Leider konnten wir Sie heute nicht antreffen. Neuer Zustellversuch morgen. Wunschtermin: https://www.myhermes.de,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
DPD: Vielen Dank! Ihr Paket wurde heute um 10:47 Uhr an Sie persönlich übergeben.,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
"UPS: Lieferung heute geplant. Sie benötigen keine Unterschrift, das Paket wird im Briefkasten hinterlegt.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket_echt
"Sparkasse: Ihre pushTAN für die Überweisung von 45,00 € an Stadtwerke München. Bitte in der S-pushTAN-App freigeben.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",bank_echt
"Volksbank: Kartenzahlung 23,49 € bei REWE Markt am 09.09. um 18:22 Uhr. Kontostand abrufbar in der VR Banking App.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",bank_echt
"ING: Ihre Überweisung von 120,00 € an Anna Weber wurde ausgeführt. Bei Fragen erreichen Sie uns über die ING-App.",0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",bank_echt
Postbank: Ihre neue Girocard wurde versandt und kommt in 3–5 Werktagen per Post. Die PIN folgt in einem separaten Brief.,0,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",bank_echt
