text,label,source_url,category
DHL: Ihr Paket konnte nicht zugestellt werden. Bitte bestätigen Sie Ihre Adresse innerhalb von 24 Stunden: http://dhl-paket-status.top/de,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
"Hermes: Zustellung fehlgeschlagen. Zollgebühr von 1,99 € ausstehend. Jetzt bezahlen, sonst geht das Paket zurück: https://hermes-sendung.info/zahlung",1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
DPD Info: Ihr Paket wartet im Depot. Bitte aktualisieren Sie Ihre Lieferdaten: dpd-lieferung.xyz/track,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
"Deutsche Post: Wir konnten Ihr Paket nicht zustellen, da die Adresse unvollständig ist. Adresse ergänzen: post-zustellung.click",1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
Ihr Paket 3849201 liegt zur Abholung bereit. Bestätigen Sie die Abholung hier: http://paket-abholen.top,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
GLS: Letzter Zustellversuch! Ohne Bestätigung wird Ihre Sendung morgen retourniert. Jetzt bestätigen: gls-paket.info/de,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
"DHL Express: Für Ihre Sendung aus dem Ausland ist eine Zollabgabe von 2,50 € fällig. Bezahlen Sie hier, um Verzögerungen zu vermeiden: dhl-zoll.xyz",1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
UPS: Ihre Sendung wurde wegen fehlender Hausnummer angehalten. Bitte innerhalb von 12 Stunden korrigieren: ups-korrektur.click/de,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
Amazon Logistik: Ihr Paket wird zurückgeschickt. Neue Zustellung nur nach Bestätigung möglich: amazon-lieferung.top/neu,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
"Hallo, Ihr Paket ist beim Zoll hängen geblieben. Bitte zahlen Sie die Gebühr von 3,00 €, damit es weitergeleitet wird: zoll-gebuehr.info",1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
DHL: Ihre Sendungsverfolgung wurde aktualisiert. Es ist ein Problem mit der Lieferadresse aufgetreten. Bitte prüfen: dhl-adresse-pruefen.xyz,1,"synthetic: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test",paket
