text,label,source_url,category
DHL: Ihr Paket 00340434161234567 wird heute zwischen 10:00 und 14:00 Uhr zugestellt. Details: https://www.dhl.de/de/privatkunden/pakete-empfangen/verfolgen.html,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
Hermes: Ihre Sendung wird morgen zugestellt. Wunschtag oder PaketShop wählen: https://www.myhermes.de/empfangen/,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
DPD: Ihr Paket kommt heute zwischen 12:00 und 15:00 Uhr. Live verfolgen: https://www.dpd.com/de/de/empfangen/,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
Amazon: Ihr Paket mit 1 Artikel wurde versandt und kommt voraussichtlich am Freitag. Sendung verfolgen: https://www.amazon.de/gp/your-account/order-history,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
GLS: Ihr Paket wird heute zugestellt. Zustellzeitraum und Optionen: https://www.gls-pakete.de/sendungsverfolgung,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
DHL: Ihr Paket wurde in der Packstation 214 abgelegt. Abholcode finden Sie in der Post & DHL App: https://www.dhl.de/de/privatkunden/pakete-empfangen/packstation.html,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
"Hermes: Ihr Paket wurde im PaketShop Lotto Bauer, Marktstraße 5, abgegeben. Abholung mit Ausweis innerhalb von 7 Tagen.",0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
UPS: Ihr Paket 1Z999AA10123456784 wurde zugestellt und an der Haustür hinterlegt. Details: https://www.ups.com/track?loc=de_DE,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
Deutsche Post: Ihr Einschreiben wird morgen zugestellt. Status: https://www.deutschepost.de/de/s/sendungsverfolgung.html,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
Ihre Bestellung bei Thalia ist unterwegs. Sendungsnummer 00340434161111111. Verfolgen: https://www.dhl.de/de/privatkunden/pakete-empfangen/verfolgen.html,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
DHL: Ihre Sendung wurde an Nachbar Herrn Schulz (EG links) übergeben. Vielen Dank.,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
DPD: Sie waren nicht anzutreffen. Neuer Zustellversuch morgen. Ändern unter: https://www.dpd.com/de/de/empfangen/,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",paket_echt
Sparkasse: Ihr Kontoauszug für September steht im Online-Banking bereit: https://www.sparkasse.de,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
"ING: Ihre Überweisung von 250,00 € an Miete Müller GbR wurde ausgeführt. Details in der ING App oder unter https://www.ing.de",0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
DKB: Neue Nachricht in Ihrem Postfach. Anmelden: https://www.dkb.de,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
Volksbank: Ihre neue Girocard ist unterwegs. Aktivieren Sie sie nach Erhalt in der VR Banking App. Infos: https://www.vr.de,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
"Commerzbank: Die photoTAN für die Überweisung von 89,00 € an Stadtwerke wurde in der App freigegeben. Bei Fragen: https://www.commerzbank.de",0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
Postbank: Ihr Beratungstermin am 16.09. um 11:00 Uhr in der Filiale Hauptbahnhof ist bestätigt. https://www.postbank.de,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
"Sparkasse: Für die Überweisung an Anna Weber (45,00 €) wurde eine pushTAN angefordert. Bitte in der S-pushTAN-App freigeben.",0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
"N26: Kartenzahlung 12,80 € bei REWE erfolgreich. Details in der App.",0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
comdirect: Ihre Kreditkartenabrechnung ist verfügbar. Anmelden unter https://www.comdirect.de,0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
"ING: Ihr Dauerauftrag Strom über 78,00 € wurde heute ausgeführt.",0,"synthetic v2: generiert mit Claude (Anthropic) am 2026-09-09 – nur fuer Training, nie fuer Test; Fokus: formelle Nachrichten mit offiziellem Link",bank_echt
